町丁字名,世帯数,総数,0 ～,5 ～,10～,15～,20～,25～,30～,35～,40～,45～,50～,55～,60～,65～,70～,75～,80～,85～,90～,95～,100歳
金ケ作,"3,943","7,686",170,224,300,286,364,378,407,322,450,499,603,590,495,461,514,579,432,377,171,52,12
日暮,55,117,4,4,7,1,9,6,8,8,6,9,8,10,6,2,6,7,7,9,－,－,－
千駄堀,"3,181","6,457",237,238,200,233,354,451,413,375,379,418,547,482,392,277,346,414,387,212,86,16,－
中和倉,"2,175","4,354",179,180,174,200,243,309,312,291,288,285,358,319,223,165,203,224,203,130,57,9,2
栗ケ沢,831,"1,896",65,90,101,96,88,77,97,100,127,155,147,125,97,99,128,119,109,50,21,4,1
八ケ崎,2,4,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
小金原1丁目,953,"1,936",82,87,71,61,96,119,161,126,120,121,152,159,96,73,99,108,97,73,33,2,－
小金原2丁目,607,"1,340",68,60,52,49,79,67,76,73,74,73,117,104,64,66,74,76,75,48,31,12,2
小金原3丁目,"1,723","2,850",40,45,49,83,142,152,123,106,109,179,240,222,186,151,227,303,283,152,52,6,－
小金原4丁目,"1,199","2,372",71,91,87,106,89,108,117,125,138,158,173,167,139,139,142,144,165,133,66,14,－
小金原5丁目,"1,133","2,404",61,102,105,106,107,87,91,135,155,134,212,209,147,148,122,137,167,120,47,9,3
小金原6丁目,"1,725","2,800",33,51,52,62,86,87,81,97,127,145,217,184,174,173,279,308,333,216,81,12,2
小金原7丁目,"1,433","3,057",111,165,150,135,94,103,148,163,188,184,242,222,178,164,175,210,195,146,70,13,1
小金原8丁目,713,"1,536",68,77,58,57,50,75,98,95,82,95,106,94,106,82,90,91,95,70,36,11,－
小金原9丁目,"1,071","2,349",90,114,135,121,131,89,120,151,150,157,193,159,148,114,137,101,114,78,36,8,3
牧の原,"2,284","3,471",51,60,61,89,98,95,112,101,133,158,267,256,246,226,405,445,382,206,72,6,2
牧の原1丁目,993,"2,397",60,74,89,137,175,109,93,107,129,183,249,239,197,149,123,141,74,40,23,6,－
牧の原2丁目,"1,070","2,190",61,57,56,88,115,107,93,112,109,129,195,196,135,103,149,175,190,79,31,8,2
日暮1丁目,538,884,19,20,23,30,63,76,62,55,54,69,91,73,63,52,39,48,28,13,6,－,－
日暮2丁目,669,"1,033",18,15,22,45,86,83,75,71,67,76,76,87,56,59,54,67,38,23,10,5,－
日暮3丁目,775,"1,454",59,56,43,52,109,99,90,76,96,90,143,125,76,67,70,67,66,51,17,1,1
日暮4丁目,402,866,30,50,36,40,40,40,58,57,61,58,68,61,45,30,36,39,51,38,21,5,2
日暮5丁目,771,"1,453",68,62,38,33,70,113,114,88,111,91,105,138,85,64,73,77,63,40,15,4,1
日暮6丁目,395,755,17,26,36,36,45,44,43,42,43,54,73,54,49,39,31,41,43,29,8,2,－
日暮7丁目,919,"1,847",58,63,62,78,80,79,81,88,112,111,147,119,122,107,114,149,149,74,43,11,－
日暮8丁目,346,789,46,34,31,51,43,60,67,48,35,57,65,58,39,35,30,37,32,16,4,1,－
八ケ崎緑町,477,996,22,35,31,44,75,49,65,50,42,71,124,81,58,53,63,65,46,17,4,1,－
八ケ崎1丁目,615,"1,240",27,34,53,50,77,60,41,60,80,97,121,84,67,71,75,81,73,48,32,7,2
八ケ崎2丁目,833,"1,742",43,58,63,66,76,75,74,81,83,110,125,150,127,107,156,139,89,74,31,11,4
八ケ崎3丁目,"1,382","3,110",111,129,112,136,158,132,166,176,162,212,265,241,178,149,191,226,194,125,33,13,1
八ケ崎4丁目,603,"1,283",38,51,37,40,57,46,44,60,99,83,88,105,73,83,91,110,102,53,18,5,－
八ケ崎5丁目,988,"2,179",92,97,88,84,121,123,118,121,145,147,204,158,119,103,109,121,125,72,28,4,－
八ケ崎6丁目,"1,376","2,900",104,114,110,126,171,120,167,152,167,198,230,211,163,143,190,188,164,118,51,12,1
八ケ崎7丁目,"1,197","2,512",100,106,110,117,134,161,140,157,165,154,225,214,159,119,116,131,99,60,36,6,3
八ケ崎8丁目,732,"1,472",41,48,58,61,87,105,102,103,91,96,139,119,98,61,53,79,69,44,14,3,1
五香六実,258,349,11,19,8,34,72,50,28,22,17,18,23,11,5,9,5,8,5,3,1,－,－
